domain,brand_stem,mirrors,operator,licence,jurisdiction,licence_status,expires,already_in_pool,all_domains,status,contacted_on
bridgept.xyz,bridgept,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,bridgept.xyz,not contacted,
brightpr.site,brightpr,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,brightpr.site,not contacted,
brtpbase.world,brtpbase,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,brtpbase.world,not contacted,
brtpnode.xyz,brtpnode,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,brtpnode.xyz,not contacted,
btrp-step.space,btrpstep,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,btrp-step.space,not contacted,
jetprbtpath21.space,jetprbtpath,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,jetprbtpath21.space,not contacted,
khan-bet.com,khanbet,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,khan-bet.com,not contacted,
maxprbtsora21.xyz,maxprbtsora,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,maxprbtsora21.xyz,not contacted,
moduloprb5.online,moduloprb,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,moduloprb5.online,not contacted,
oneparabeta.xyz,oneparabeta,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,oneparabeta.xyz,not contacted,
oneparbt.click,oneparbt,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,oneparbt.click,not contacted,
orbitprb.xyz,orbitprb,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,orbitprb.xyz,not contacted,
para-bet2.club,parabet,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,para-bet2.club,not contacted,
para-bets.com,parabets,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,para-bets.com,not contacted,
paracore.world,paracore,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,paracore.world,not contacted,
paranetwork.online,paranetwork,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,paranetwork.online,not contacted,
parapath.space,parapath,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,parapath.space,not contacted,
prabts.online,prabts,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,prabts.online,not contacted,
prblevelbox42.online,prblevelbox,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,prblevelbox42.online,not contacted,
prbt.my,prbt,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,prbt.my,not contacted,
prbtcorelane.space,prbtcorelane,0,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,prbtcorelane.space,not contacted,
