domain,brand,operator,platform,confidence,evidence_host
chance.net,Chance,Chance Ltd,,,
chillireels.best,Chilli Reels Casino,3-102-940828 SRL,,,
clockfortune.best,FortuneClock Casino,3-102-940828 SRL,,,
cola.com,Cola.com,Desert Star Limited,,,
cooked.com,Cooked Casino,Digital Chain Ventures SRL,,,
coolt.casino,Сoolt Casino Online,Nuveau Ltd,,,
cosmoracasinos.com,Cosmoracasinos,3-102-958311 SRL,,,
crash2x.com,Crash2x Casino,Meta Jack Inc.,,,
craze.casino,Craze Casino,Gridline Limited,,,
cryptobosscasino.com,CryptoBoss,3-102-937046 SRL,,,
cryptogaming.com,CryptoGaming,Digital Chain Ventures SRL,,,
cs2skin.com,CS2SKIN,3-102-946905 SRL,,,
dadastake.com,Dadastake Casino,Fortaluna Ltd,,,
dailyluck.com,Daily Luck Casino,3-102-940828 SRL,,,
daytonaspin.com,Forbidden,Win Top Ltd,,,
degen.com,Degen,Degen Legend Limitada,,,
degenta.com,Degenta,Thornwick Ltd,,,
dicey.com,Play Casino Games with Bitcoin & Crypto,3-102-943011 SRL,,,
dodobet.com,Dodobet global,Obsidian Titan Limited,,,
donebets.com,Loading...,3-102-952932 SRL,,,
drazze.casino,Drazze,Drazze Limited,,,
drazzewin.com,Drazze,Drazze Limited,,,
duffspin.com,Forbidden,Win Top Ltd,,,
dumanbet.com,Dumanbet,Fortuna Digital Solutions FDS Limitada,,,
dustbet.io,DustBet<!,Anklebone Limited,,,
dustbit.com,Dustbit,Oxilium Limited,,,
ebete.com,Ebete,Pacific Odds SRL,,,
egebet.com,Egebet Resmi Web Sitesi,3-102-947593 SRL,,,
elitcasino.com,Elitcasino,Vesaro Limited,,,
elvisluck.net,ElvisLuck Casino,Juicecraft Limited,,,
erc20play.com,Casino Platform,Fortune HUB OÜ,,,
euphoriawins.best,Euphoria Wins Casino,3-102-940828 SRL,,,
evetabi.com,EvetAbi,Mistletoe Ltd,,,
